annee_universitaire,type_detablissement,typologie_duniversite,etablissement_id_paysage,etablissement,etablissement_compos_id_paysage,decomposition_des_universites_a_statuts_experimentaux,form_ens_id_paysage,espe_inspe,etablissement_id_wikidata,etablissement_id_ror,etablissement_id_uai,localisation_du_siege_de_l_etablissement,localisation_de_lunite_dinscription,sexe,sexe_de_letudiant,regroupement_de_baccalaureats,bac,serie_de_baccalaureat,bac_age,age_au_baccalaureat,attrac_nat_dep_bac,attractivite_departementale_departement_dobtention_du_baccalaureat,attrac_nat_reg_bac,attractivite_regionale_region_dobtention_du_baccalaureat,attrac_intern,attractivite_internationale,mobilite_intern,mobilite_internationale,dn_de,type_de_diplome,cursus_lmd,cycle_universitaire_cursus_lmd,regroupement_de_diplomes,diplome,diplome_2,niveau,niveau_dans_le_diplome,degetu,degre_d_etudes,selection_disciplinaire,gd_discipline,grande_discipline,discipline,discipline_2,sect_disciplinaire,secteur_disciplinaire,specialite_regroupee_de_dut_but,spec_iut,specialite_de_dut_but,iut_id_paysage,correspondance_iut,nombre_detudiants_inscrits_inscriptions_principales_hors_etudiants_inscrits_en_parallele_en_cpge,nombre_detudiants_inscrits_inscriptions_principales_y_compris_etudiants_inscrits_en_parallele_en_cpge,nombre_total_detudiants_inscrits_inscriptions_principales_et_secondes_hors_etudiants_inscrits_en_parallele_en_cpge,nombre_total_detudiants_inscrits_inscriptions_principales_et_secondes_y_compris_etudiants_inscrits_en_parallele_en_cpge,nombre_de_nouveaux_bacheliers_inscrits_hors_etudiants_inscrits_en_parallele_en_cpge,nombre_de_nouveaux_bacheliers_inscrits_y_compris_etudiants_inscrits_en_parallele_en_cpge,nombre_detudiants_preparant_un_diplome_d_etat_dinfirmier_en_ifsi,nombre_detudiants_inscrits_issus_des_pays_membres_de_l_ue27_hors_etudiants_inscrits_en_parallele_en_cpge,nombre_detudiants_inscrits_issus_des_pays_membres_de_l_ocde_hors_etudiants_inscrits_en_parallele_en_cpge,nombre_detudiants_inscrits_issus_des_pays_engages_dans_le_processus_de_bologne_hors_etudiants_inscrits_en_parallele_en_cpge,nombre_detudiants_inscrits_issus_des_pays_composant_le_brics_hors_etudiants_inscrits_en_parallele_en_cpge,etablissement_code_commune,commune_du_siege_de_l_etablissement,etablissement_id_uucr,unite_urbaine_ou_commune_rurale_du_siege_de_l_etablissement,etablissement_id_departement,departement_du_siege_de_l_etablissement,etablissement_id_academie,academie_du_siege_de_l_etablissement,etablissement_id_region,region_du_siege_de_l_etablissement,implantation_code_commune,commune_de_lunite_dinscription,implantation_id_uucr,unite_urbaine_ou_commune_rurale_de_lunite_dinscription,implantation_id_departement,departement_de_lunite_dinscription,implantation_id_academie,academie_de_lunite_dinscription,implantation_id_region,region_de_lunite_dinscription,etablissement_id_uai_source,etablissement_id_paysage_source,etablissement_id_paysage_actuel,etablissement_actuel_lib,rentree,annee
2024-25,Université,Université pluridisciplinaire hors santé,PpsCQ,Université Paris sciences et lettres,JGOcj,École supérieure de physique et de chimie industrielles de la ville de Paris,NA,NA,Q1163431,013cjyk83,0756036D,Île-de-France>Paris>Paris 6e,Île-de-France>Paris>Paris 6e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,D,3ème cycle,Doctorat,DOCT,Doctorat,XX,Sans précision,6,BAC + 6 et plus,Santé>Médecine,SANTE,Santé,11,Médecine,7,Médecine,Sans objet,AUTRES,Sans objet,NA,Sans objet,1,1,1,1,0,0,0,1,1,1,0,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0753429V,JGOcj,PpsCQ,Université Paris sciences et lettres,2024,2025
2024-25,Université,Université pluridisciplinaire hors santé,PpsCQ,Université Paris sciences et lettres,8618D,École normale supérieure PSL,NA,NA,Q1163431,013cjyk83,0756036D,Île-de-France>Paris>Paris 6e,Île-de-France>Paris>Paris 6e,F,Féminin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,D,3ème cycle,Doctorat,DOCT,Doctorat,XX,Sans précision,6,BAC + 6 et plus,Sciences et sciences de l'ingénieur>Sciences fondamentales et applications>Chimie,SI,Sciences et sciences de l'ingénieur,15,Sciences fondamentales et applications,3,Chimie,Sans objet,AUTRES,Sans objet,NA,Sans objet,1,1,1,1,0,0,0,1,1,1,0,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0753455Y,8618D,PpsCQ,Université Paris sciences et lettres,2024,2025
2024-25,Université,Université pluridisciplinaire hors santé,PpsCQ,Université Paris sciences et lettres,JGOcj,École supérieure de physique et de chimie industrielles de la ville de Paris,NA,NA,Q1163431,013cjyk83,0756036D,Île-de-France>Paris>Paris 6e,Île-de-France>Paris>Paris 6e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,D,3ème cycle,Doctorat,DOCT,Doctorat,XX,Sans précision,6,BAC + 6 et plus,Sciences et sciences de l'ingénieur>Sciences fondamentales et applications>Chimie,SI,Sciences et sciences de l'ingénieur,15,Sciences fondamentales et applications,3,Chimie,Sans objet,AUTRES,Sans objet,NA,Sans objet,1,1,1,1,0,0,0,1,1,1,0,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0753429V,JGOcj,PpsCQ,Université Paris sciences et lettres,2024,2025
2024-25,Université,Université pluridisciplinaire hors santé,PpsCQ,Université Paris sciences et lettres,C6Ps7,Université Paris Dauphine - PSL,NA,NA,Q1163431,013cjyk83,0756036D,Île-de-France>Paris>Paris 6e,Île-de-France>Paris>Paris 16e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,D,3ème cycle,Doctorat,DOCT,Doctorat,XX,Sans précision,6,BAC + 6 et plus,Sciences et sciences de l'ingénieur>Sciences fondamentales et applications>Informatique,SI,Sciences et sciences de l'ingénieur,15,Sciences fondamentales et applications,14,Informatique,Sans objet,AUTRES,Sans objet,NA,Sans objet,3,3,3,3,0,0,0,3,3,3,0,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75116,Paris 16e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0750736T,C6Ps7,PpsCQ,Université Paris sciences et lettres,2024,2025
2024-25,Université,Université pluridisciplinaire hors santé,PpsCQ,Université Paris sciences et lettres,JGOcj,École supérieure de physique et de chimie industrielles de la ville de Paris,NA,NA,Q1163431,013cjyk83,0756036D,Île-de-France>Paris>Paris 6e,Île-de-France>Paris>Paris 6e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,D,3ème cycle,Doctorat,DOCT,Doctorat,XX,Sans précision,6,BAC + 6 et plus,Sciences et sciences de l'ingénieur>Sciences fondamentales et applications>Physique,SI,Sciences et sciences de l'ingénieur,15,Sciences fondamentales et applications,2,Physique,Sans objet,AUTRES,Sans objet,NA,Sans objet,1,1,1,1,0,0,0,1,1,1,0,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0753429V,JGOcj,PpsCQ,Université Paris sciences et lettres,2024,2025
2024-25,Grand établissement,NA,u79ZJ,Sciences Po,NA,NA,NA,NA,Q859363,05fe7ax82,0753431X,Île-de-France>Paris>Paris 7e,Île-de-France>Paris>Paris 7e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,D,3ème cycle,HDR,HDR,HDR,XX,Sans précision,6,BAC + 6 et plus,"Droit, sciences économiques, AES>Droit, sciences politiques>Sciences politiques",DSA,"Droit, sciences économiques, AES",1,"Droit, sciences politiques",37,Sciences politiques,Sans objet,AUTRES,Sans objet,NA,Sans objet,1,1,1,1,0,0,0,1,1,1,0,75107,Paris 7e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75107,Paris 7e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0753431X,u79ZJ,u79ZJ,Sciences Po,2024,2025
2024-25,Université,Université pluridisciplinaire hors santé,PpsCQ,Université Paris sciences et lettres,8618D,École normale supérieure PSL,NA,NA,Q1163431,013cjyk83,0756036D,Île-de-France>Paris>Paris 6e,Île-de-France>Paris>Paris 6e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,M,Etudiants étrangers en mobilité internationale,DN,Diplômes nationaux,D,3ème cycle,HDR,HDR,HDR,XX,Sans précision,6,BAC + 6 et plus,"Lettres, langues et sciences humaines>Sciences humaines et sociales>Psychologie",LLSH,"Lettres, langues et sciences humaines",6,Sciences humaines et sociales,32,Psychologie,Sans objet,AUTRES,Sans objet,NA,Sans objet,2,2,2,2,0,0,0,0,1,0,0,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0753455Y,8618D,PpsCQ,Université Paris sciences et lettres,2024,2025
2024-25,Université,Université pluridisciplinaire hors santé,PpsCQ,Université Paris sciences et lettres,8618D,École normale supérieure PSL,NA,NA,Q1163431,013cjyk83,0756036D,Île-de-France>Paris>Paris 6e,Île-de-France>Paris>Paris 6e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,D,3ème cycle,HDR,HDR,HDR,XX,Sans précision,6,BAC + 6 et plus,Sciences et sciences de l'ingénieur>Sciences fondamentales et applications>Informatique,SI,Sciences et sciences de l'ingénieur,15,Sciences fondamentales et applications,14,Informatique,Sans objet,AUTRES,Sans objet,NA,Sans objet,1,1,1,1,0,0,0,1,1,1,0,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0753455Y,8618D,PpsCQ,Université Paris sciences et lettres,2024,2025
2024-25,Université,Université tertiaire - droit et économie,6G2TU,Université Paris 1 - Panthéon Sorbonne,NA,NA,NA,NA,Q999763,002t25c44,0751717J,Île-de-France>Paris>Paris 5e,Île-de-France>Paris>Paris 5e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Capacité en droit,CAPA,Capacité en droit,01,1ère année,0,Inférieur ou égal au baccalauréat,"Droit, sciences économiques, AES>Droit, sciences politiques>Sciences juridiques",DSA,"Droit, sciences économiques, AES",1,"Droit, sciences politiques",36,Sciences juridiques,Sans objet,AUTRES,Sans objet,NA,Sans objet,29,29,29,29,0,0,0,23,23,24,0,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0751717J,6G2TU,6G2TU,Université Paris 1 - Panthéon Sorbonne,2024,2025
2024-25,Université,Université tertiaire - droit et économie,gap5Q,Université Toulouse Capitole,gap5Q,Université Toulouse Capitole,NA,NA,Q590201,027ankh97,0313124C,Occitanie>Toulouse>Haute-Garonne>Toulouse,Occitanie>Toulouse>Haute-Garonne>Toulouse,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Capacité en droit,CAPA,Capacité en droit,01,1ère année,0,Inférieur ou égal au baccalauréat,"Droit, sciences économiques, AES>Droit, sciences politiques>Sciences juridiques",DSA,"Droit, sciences économiques, AES",1,"Droit, sciences politiques",36,Sciences juridiques,Sans objet,AUTRES,Sans objet,NA,Sans objet,15,15,15,15,0,0,0,13,13,13,0,31555,Toulouse,UU00758,Toulouse,D031,Haute-Garonne,A16,Toulouse,R76,Occitanie,31555,Toulouse,UU00758,Toulouse,D031,Haute-Garonne,A16,Toulouse,R76,Occitanie,0313124C,gap5Q,gap5Q,Université Toulouse Capitole,2024,2025
2024-25,Université,Université tertiaire - droit et économie,6G2TU,Université Paris 1 - Panthéon Sorbonne,NA,NA,NA,NA,Q999763,002t25c44,0751717J,Île-de-France>Paris>Paris 5e,Île-de-France>Paris>Paris 5e,F,Féminin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Diplôme d'accès aux études universitaires,DAEU,Diplôme d'accès aux études universitaires,XX,Sans précision,0,Inférieur ou égal au baccalauréat,"Lettres, langues et sciences humaines>Lettres, sciences du langage, arts>Langues et littératures françaises",LLSH,"Lettres, langues et sciences humaines",4,"Lettres, sciences du langage, arts",19,Langues et littératures françaises,Sans objet,AUTRES,Sans objet,NA,Sans objet,44,44,44,44,0,0,0,39,39,40,0,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0751717J,6G2TU,6G2TU,Université Paris 1 - Panthéon Sorbonne,2024,2025
2024-25,Université,Université tertiaire - droit et économie,6G2TU,Université Paris 1 - Panthéon Sorbonne,NA,NA,NA,NA,Q999763,002t25c44,0751717J,Île-de-France>Paris>Paris 5e,Île-de-France>Paris>Paris 5e,F,Féminin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DU,Diplômes d'établissement,L,1er cycle,Autres formations,AUTRES_FORM,Autres formations,XX,Sans précision,1,BAC + 1,"Lettres, langues et sciences humaines>Sciences humaines et sociales>Pluridisciplinaire sciences humaines et sociales",LLSH,"Lettres, langues et sciences humaines",6,Sciences humaines et sociales,66,Pluridisciplinaire sciences humaines et sociales,Sans objet,AUTRES,Sans objet,NA,Sans objet,7,7,7,7,0,0,0,3,3,3,0,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0751717J,6G2TU,6G2TU,Université Paris 1 - Panthéon Sorbonne,2024,2025
2024-25,Université,Université tertiaire - droit et économie,6G2TU,Université Paris 1 - Panthéon Sorbonne,NA,NA,NA,NA,Q999763,002t25c44,0751717J,Île-de-France>Paris>Paris 5e,Île-de-France>Paris>Paris 5e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DU,Diplômes d'établissement,L,1er cycle,Autres formations,AUTRES_FORM,Autres formations,XX,Sans précision,1,BAC + 1,"Lettres, langues et sciences humaines>Sciences humaines et sociales>Pluridisciplinaire sciences humaines et sociales",LLSH,"Lettres, langues et sciences humaines",6,Sciences humaines et sociales,66,Pluridisciplinaire sciences humaines et sociales,Sans objet,AUTRES,Sans objet,NA,Sans objet,6,6,6,6,0,0,0,5,5,5,0,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0751717J,6G2TU,6G2TU,Université Paris 1 - Panthéon Sorbonne,2024,2025
2024-25,Université,Université tertiaire - droit et économie,gap5Q,Université Toulouse Capitole,gap5Q,Université Toulouse Capitole,NA,NA,Q590201,027ankh97,0313124C,Occitanie>Toulouse>Haute-Garonne>Toulouse,Occitanie>Toulouse>Haute-Garonne>Toulouse,F,Féminin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Capacité en droit,CAPA,Capacité en droit,02,2ème année,1,BAC + 1,"Droit, sciences économiques, AES>Droit, sciences politiques>Sciences juridiques",DSA,"Droit, sciences économiques, AES",1,"Droit, sciences politiques",36,Sciences juridiques,Sans objet,AUTRES,Sans objet,NA,Sans objet,15,15,15,15,0,0,0,13,12,13,0,31555,Toulouse,UU00758,Toulouse,D031,Haute-Garonne,A16,Toulouse,R76,Occitanie,31555,Toulouse,UU00758,Toulouse,D031,Haute-Garonne,A16,Toulouse,R76,Occitanie,0313124C,gap5Q,gap5Q,Université Toulouse Capitole,2024,2025
2024-25,Université,Université tertiaire - droit et économie,gap5Q,Université Toulouse Capitole,gap5Q,Université Toulouse Capitole,NA,NA,Q590201,027ankh97,0313124C,Occitanie>Toulouse>Haute-Garonne>Toulouse,Occitanie>Toulouse>Tarn-et-Garonne>Montauban,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Licence,LIC_L_LAS,Licence accès santé,01,1ère année,1,BAC + 1,"Droit, sciences économiques, AES>Droit, sciences politiques>Sciences juridiques",DSA,"Droit, sciences économiques, AES",1,"Droit, sciences politiques",36,Sciences juridiques,Sans objet,AUTRES,Sans objet,NA,Sans objet,1,1,1,1,0,0,0,1,1,1,0,31555,Toulouse,UU00758,Toulouse,D031,Haute-Garonne,A16,Toulouse,R76,Occitanie,82121,Montauban,UU82501,Montauban,D082,Tarn-et-Garonne,A16,Toulouse,R76,Occitanie,0313124C,gap5Q,gap5Q,Université Toulouse Capitole,2024,2025
2024-25,Université,Université tertiaire - droit et économie,6G2TU,Université Paris 1 - Panthéon Sorbonne,NA,NA,NA,NA,Q999763,002t25c44,0751717J,Île-de-France>Paris>Paris 5e,Île-de-France>Paris>Paris 13e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Licence,LIC_L_LIC_L,Autres licences,01,1ère année,1,BAC + 1,"Droit, sciences économiques, AES>Droit, sciences politiques>Sciences juridiques",DSA,"Droit, sciences économiques, AES",1,"Droit, sciences politiques",36,Sciences juridiques,Sans objet,AUTRES,Sans objet,NA,Sans objet,31,31,31,31,0,0,0,26,27,27,0,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75113,Paris 13e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0751717J,6G2TU,6G2TU,Université Paris 1 - Panthéon Sorbonne,2024,2025
2024-25,Université,Université tertiaire - droit et économie,6G2TU,Université Paris 1 - Panthéon Sorbonne,NA,NA,NA,NA,Q999763,002t25c44,0751717J,Île-de-France>Paris>Paris 5e,Île-de-France>Paris>Paris 5e,F,Féminin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Licence,LIC_L_LIC_L,Autres licences,01,1ère année,1,BAC + 1,"Droit, sciences économiques, AES>Droit, sciences politiques>Sciences politiques",DSA,"Droit, sciences économiques, AES",1,"Droit, sciences politiques",37,Sciences politiques,Sans objet,AUTRES,Sans objet,NA,Sans objet,0,0,1,1,0,0,0,0,0,0,0,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0751717J,6G2TU,6G2TU,Université Paris 1 - Panthéon Sorbonne,2024,2025
2024-25,Université,Université tertiaire - droit et économie,gap5Q,Université Toulouse Capitole,gap5Q,Université Toulouse Capitole,NA,NA,Q590201,027ankh97,0313124C,Occitanie>Toulouse>Haute-Garonne>Toulouse,Occitanie>Toulouse>Haute-Garonne>Toulouse,F,Féminin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Licence,LIC_L_LIC_L,Autres licences,01,1ère année,1,BAC + 1,"Droit, sciences économiques, AES>Sciences économiques, gestion>Sciences de gestion",DSA,"Droit, sciences économiques, AES",2,"Sciences économiques, gestion",39,Sciences de gestion,Sans objet,AUTRES,Sans objet,NA,Sans objet,1,1,1,1,0,0,0,0,0,1,0,31555,Toulouse,UU00758,Toulouse,D031,Haute-Garonne,A16,Toulouse,R76,Occitanie,31555,Toulouse,UU00758,Toulouse,D031,Haute-Garonne,A16,Toulouse,R76,Occitanie,0313124C,gap5Q,gap5Q,Université Toulouse Capitole,2024,2025
2024-25,Université,Université tertiaire - droit et économie,6G2TU,Université Paris 1 - Panthéon Sorbonne,NA,NA,NA,NA,Q999763,002t25c44,0751717J,Île-de-France>Paris>Paris 5e,Île-de-France>Paris>Paris 13e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Licence,LIC_L_LIC_L,Autres licences,01,1ère année,1,BAC + 1,"Droit, sciences économiques, AES>Sciences économiques, gestion>Sciences économiques",DSA,"Droit, sciences économiques, AES",2,"Sciences économiques, gestion",38,Sciences économiques,Sans objet,AUTRES,Sans objet,NA,Sans objet,2,5,2,5,0,0,0,2,2,2,0,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75113,Paris 13e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0751717J,6G2TU,6G2TU,Université Paris 1 - Panthéon Sorbonne,2024,2025
2024-25,Université,Université tertiaire - droit et économie,6G2TU,Université Paris 1 - Panthéon Sorbonne,NA,NA,NA,NA,Q999763,002t25c44,0751717J,Île-de-France>Paris>Paris 5e,Île-de-France>Paris>Paris 5e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Licence,LIC_L_LIC_L,Autres licences,01,1ère année,1,BAC + 1,"Droit, sciences économiques, AES>Administration économique et sociale",DSA,"Droit, sciences économiques, AES",3,Administration économique et sociale,40,Administration économique et sociale,Sans objet,AUTRES,Sans objet,NA,Sans objet,0,0,1,1,0,0,0,0,0,0,0,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0751717J,6G2TU,6G2TU,Université Paris 1 - Panthéon Sorbonne,2024,2025
2024-25,Université,Université tertiaire - droit et économie,6G2TU,Université Paris 1 - Panthéon Sorbonne,NA,NA,NA,NA,Q999763,002t25c44,0751717J,Île-de-France>Paris>Paris 5e,Île-de-France>Paris>Paris 15e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Licence,LIC_L_LIC_L,Autres licences,01,1ère année,1,BAC + 1,"Lettres, langues et sciences humaines>Lettres, sciences du langage, arts>Arts",LLSH,"Lettres, langues et sciences humaines",4,"Lettres, sciences du langage, arts",21,Arts,Sans objet,AUTRES,Sans objet,NA,Sans objet,5,5,5,5,0,0,0,5,5,5,0,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75115,Paris 15e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0751717J,6G2TU,6G2TU,Université Paris 1 - Panthéon Sorbonne,2024,2025
2024-25,Université,Université tertiaire - droit et économie,6G2TU,Université Paris 1 - Panthéon Sorbonne,NA,NA,NA,NA,Q999763,002t25c44,0751717J,Île-de-France>Paris>Paris 5e,Île-de-France>Paris>Paris 13e,F,Féminin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Licence,LIC_L_LIC_L,Autres licences,01,1ère année,1,BAC + 1,"Lettres, langues et sciences humaines>Sciences humaines et sociales>Sociologie, démographie",LLSH,"Lettres, langues et sciences humaines",6,Sciences humaines et sociales,33,"Sociologie, démographie",Sans objet,AUTRES,Sans objet,NA,Sans objet,3,3,3,3,0,0,0,3,3,3,0,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75113,Paris 13e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0751717J,6G2TU,6G2TU,Université Paris 1 - Panthéon Sorbonne,2024,2025
2024-25,Université,Université tertiaire - droit et économie,6G2TU,Université Paris 1 - Panthéon Sorbonne,NA,NA,NA,NA,Q999763,002t25c44,0751717J,Île-de-France>Paris>Paris 5e,Île-de-France>Paris>Paris 15e,M,Masculin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DU,Diplômes d'établissement,L,1er cycle,Autres formations,AUTRES_FORM,Autres formations,XX,Sans précision,2,BAC + 2,"Lettres, langues et sciences humaines>Lettres, sciences du langage, arts>Arts",LLSH,"Lettres, langues et sciences humaines",4,"Lettres, sciences du langage, arts",21,Arts,Sans objet,AUTRES,Sans objet,NA,Sans objet,1,1,1,1,0,0,0,1,1,1,0,75105,Paris 5e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75115,Paris 15e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0751717J,6G2TU,6G2TU,Université Paris 1 - Panthéon Sorbonne,2024,2025
2024-25,Université,Université pluridisciplinaire hors santé,PpsCQ,Université Paris sciences et lettres,C6Ps7,Université Paris Dauphine - PSL,NA,NA,Q1163431,013cjyk83,0756036D,Île-de-France>Paris>Paris 6e,Île-de-France>Paris>Paris 16e,F,Féminin,Dispensés,7,Dispensés,SO,Non renseigné ou non bachelier,9,Non bacheliers,9,Non bacheliers,F,Autres cas,X,Autres cas,DN,Diplômes nationaux,L,1er cycle,Diplômes de grand établissement conférant grade Licence,GDETBLIC,Diplômes de grand établissement conférant le grade de Licence,XX,Sans précision,2,BAC + 2,Sciences et sciences de l'ingénieur>Sciences fondamentales et applications>Mathématique et informatique,SI,Sciences et sciences de l'ingénieur,15,Sciences fondamentales et applications,42,Mathématique et informatique,Sans objet,AUTRES,Sans objet,NA,Sans objet,3,3,3,3,0,0,0,3,3,3,0,75106,Paris 6e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,75116,Paris 16e,UU00851,Paris,D075,Paris,A01,Paris,R11,Île-de-France,0750736T,C6Ps7,PpsCQ,Université Paris sciences et lettres,2024,2025
